PH_NO,STATE,CITY,ROUND_TRIP
818-685-7644,TX,Carrollton,Y
972-652-3876,NY,New York,Y
212-878-8977,NJ,Haskell,Y
973-403-4890,CA,Upland,Y
909-694-9977,FL,Melbourne,Y
321-926-8950,OR,Eugene,N
541-466-9983,WA,Seattle,N
206-553-4305,CO,Arvada,N
303-553-2565,WA,Yakima,Y
509-445-4006,MD,Frederick,Y
301-875-9783,NC,Henderson,Y
252-337-3519,PA,Broomall,Y
610-730-2453,OR,Salem,N
503-816-4046,OR,Grants Pass,N
541-251-6795,HI,Haleiwa,Y
808-577-9533,IL,Hinsdale,Y
630-904-7861,AZ,Phoenix,Y
602-852-7159,TX,Corpus Christi,Y
361-911-3413,AR,Paragould,Y
870-504-5541,CA,San Jose,Y
408-512-1073,CA,Oakdale,N
209-553-6024,NY,New York,N
212-351-7603,MI,Battle Creek,N
269-275-1772,AK,Anchorage,Y
907-575-3271,TX,Laredo,Y
956-687-1746,WV,Charleston,Y
304-727-6260,NV,Las Vegas,Y
702-590-5056,MO,Grandview,N
816-626-9085,WI,Green Bay,N
920-700-8908,NY,Webster,Y
585-832-2074,FL,Altamonte Springs,Y
407-429-6867,PA,Philadelphia,Y
215-517-7327,CA,Los Angeles,Y
310-905-4047,FL,Miami,Y
305-894-5788,CA,San Carlos,Y
650-426-7278,FL,Orlando,N
407-508-6278,OR,Portland,N
503-379-6811,OR,Portland,N
503-663-6056,CA,Artesia,Y
562-792-3807,CA,San Francisco,Y
415-629-5839,CA,Fair Oaks,Y
916-906-8511,CO,Denver,Y
303-837-3650,CA,Sacramento,N
916-772-7199,CA,Modesto,N
209-309-3445,CA,Santa Barbara,Y
805-882-4805,NY,Carthage,Y
315-580-8564,NJ,Trenton,Y
609-834-2445,WV,Morgantown,Y
304-289-3450,CA,Ventura,Y
805-756-2595,MA,Springfield,Y
413-463-2507,NY,Hicksville,N
516-627-9041,OH,Toledo,N
419-896-2323,MI,Hazel Park,N
248-405-8046,KS,Derby,Y
316-727-4348,OH,Warren,Y
330-913-4926,CA,Upland,Y
909-776-7203,DC,Washington,Y
202-660-1171,NV,Las Vegas,N
702-719-8695,IN,Michigan City,N
219-455-8261,RI,Providence,Y
401-859-1228,CO,Englewood,Y
303-713-1893,DC,Washington,Y
202-450-9952,WV,Wheeling,Y
304-416-5504,HI,Aiea,Y
808-320-8069,MA,Haverhill,Y
978-358-2522,MI,Detroit,N
313-478-3981,NC,Burlington,N
336-957-8804,AZ,Phoenix,N
602-384-5037,MI,Madison Heights,Y
248-809-8421,OH,Cuyahoga Falls,Y
330-658-1531,NJ,Clifton,Y
973-782-5025,IL,Kankakee,Y
815-406-1300,IL,Chicago,N
773-307-6743,NJ,Morris Plains,N
973-725-1041,CA,Chatsworth,Y
818-507-9259,IL,Blue Island,Y
708-685-3163,FL,Tampa,Y
813-765-7739,CA,Sun Valley,Y
818-242-8027,CA,Sunnyvale,Y
408-287-1192,MI,Lansing,Y
517-344-4984,NY,New York,N
212-764-6164,ID,Ketchum,N
208-421-3002,MS,Greenwood,N
662-699-1141,NY,New York,Y
212-357-1570,CA,Hayward,Y
510-431-1737,WI,Abbotsford,Y
715-528-9370,NV,Las Vegas,Y
702-747-5609,DE,Lincoln,N
302-241-9785,AR,Little Rock,N
501-745-9615,NV,Las Vegas,Y
702-205-4187,NY,New York,Y
212-636-6247,NJ,Berlin,Y
856-420-9509,CA,Pacifica,Y
650-312-6026,MD,Baltimore,Y
410-448-4263,AZ,Mesa,Y
480-354-7599,CA,Santa Fe Springs,N
562-620-5214,NY,Brooklyn,N
718-394-9331,IL,Highland Park,N
847-922-3566,PA,Philadelphia,Y
215-870-1986,CT,Stamford,Y
203-690-7219,NE,Omaha,Y
402-978-3883,TX,Houston,Y
713-241-9001,CT,Norwalk,N
203-203-2128,WI,Milwaukee,N
414-343-7815,CA,Sacramento,Y
916-962-9145,KY,Louisville,Y
502-236-1060,NJ,Edison,Y
732-651-4020,NJ,Bloomfield,Y
973-346-9167,NJ,Oradell,Y
201-721-7292,CA,Palm Desert,Y
760-498-6528,NJ,Mount Arlington,N
973-412-6064,FL,West Palm Beach,N
561-791-2185,PA,Fort Washington,N
215-736-7556,CA,Santa Ana,Y
714-970-8852,CO,Boulder,Y
303-284-8978,NY,New York,Y
212-207-3223,GA,Warner Robins,Y
478-737-6979,GA,Augusta,N
706-990-4829,CA,San Francisco,N
415-808-2562,WI,Milwaukee,Y
414-455-2368,IL,Chicago,Y
773-812-3016,WY,Cheyenne,Y
307-960-7798,NY,Brooklyn,Y
718-558-1245,OR,Portland,Y
503-251-9471,OR,Salem,Y
503-820-6565,OH,Youngstown,N
330-563-1014,IN,South Bend,N
574-967-3489,CA,San Mateo,N
650-279-6805,CA,Lakeport,Y
707-774-3785,IA,Davenport,Y
563-590-5264,HI,Kaneohe,Y
808-391-9435,OH,Youngstown,Y
330-483-3269,MD,Leonardtown,N
301-552-8729,IL,Franklin Park,N
847-998-2947,NJ,Caldwell,Y
973-903-6808,WI,Milwaukee,Y
414-449-1346,GA,Atlanta,Y
404-349-2159,NY,Syracuse,Y
315-799-5113,MI,Three Rivers,Y
269-372-6281,NJ,Kearny,Y
201-647-4702,FL,Tampa,N
813-831-6386,TN,Taft,N
931-406-8494,NY,Jamaica,N
718-749-3470,NJ,Kearny,Y
201-560-8701,MO,Monroe City,Y
573-658-7366,OR,Portland,Y
503-287-1361,NJ,Bayonne,Y
201-367-4154,NC,Charlotte,N
704-620-8158,CA,Fremont,N
510-830-3697,PA,Aston,Y
610-241-1103,OR,Salem,Y
503-923-9956,CA,Novato,Y
415-385-9583,HI,Honolulu,Y
808-318-7107,NV,Reno,Y
775-474-5288,NJ,Somerset,Y
732-568-4576,TN,Mc Minnville,N
931-871-6003,CA,Carlsbad,N
760-839-2213,CA,Los Angeles,N
323-841-6441,PA,Bethlehem,Y
610-285-9188,IN,Anderson,Y
765-589-6236,NJ,Rockaway,Y
973-898-9447,KS,Topeka,Y
785-726-6807,NY,New York,N
212-487-5111,MO,Saint Louis,N
314-983-9666,DC,Washington,Y
202-814-8709,NJ,Rockaway,Y
973-429-9091,TX,Corpus Christi,Y
361-200-5622,NY,New York,Y
212-706-5677,LA,Saint Rose,Y
985-449-5665,PA,Philadelphia,Y
215-751-3363,CA,South San Francisco,N
650-372-1824,MI,Roseville,N
586-910-4872,TX,Haltom City,N
817-729-5756,NJ,Edison,Y
732-472-9756,AZ,Scottsdale,Y
480-481-7243,VA,Springfield,Y
703-351-7048,PA,Philadelphia,Y
215-408-6874,NJ,Englewood,N
201-316-1374,MI,Romulus,N
734-527-1417,NJ,Camden,Y
856-526-1019,OH,Chagrin Falls,Y
440-948-3863,SC,Greenwood,Y
864-606-7518,OH,Toledo,Y
419-594-7503,NC,Asheville,Y
828-269-9749,PA,Landisville,Y
717-466-5465,PA,Horsham,N
215-317-4151,AK,Anchorage,N
907-883-1470,FL,Sanford,N
407-201-9006,CA,Clovis,Y
559-899-4600,NE,Lincoln,Y
402-724-1845,MI,Warren,Y
586-618-6750,IL,Naperville,Y
630-505-3740,NJ,Riverton,N
856-614-9808,CT,East Haven,N
203-925-6012,CA,Westminster,Y
714-327-5996,OH,Toledo,Y
419-799-2024,PA,Wayne,Y
610-227-3314,NY,Brooklyn,Y
718-464-7574,NM,Las Cruces,Y
505-830-4441,NJ,Spotswood,Y
732-432-5316,CA,Torrance,N
310-631-3366,NJ,Ridgefield Park,N
201-585-2933,AZ,Phoenix,N
602-374-4754,CA,North Hills,Y
818-666-8761,OH,Columbus,Y
614-702-1180,MI,Lansing,Y
517-765-4979,MN,Minneapolis,Y
763-762-9921,MI,Detroit,N
313-605-1600,OH,Maple Heights,N
216-794-6312,LA,Prairieville,Y
225-468-2627,LA,New Orleans,Y
504-452-2266,NJ,Williamstown,Y
856-361-9031,PA,West Chester,Y
610-992-3477,MD,Rockville,Y
301-308-5303,CA,San Ramon,Y
925-682-2694,CO,Commerce City,N
303-622-5224,SD,Sioux Falls,N
605-607-4290,TN,Madison,N
615-874-5108,NY,Maspeth,Y
718-465-8190,NJ,Cherry Hill,Y
856-566-4111,CA,Northridge,Y
818-595-1121,MD,Rockville,Y
301-379-7645,ME,Ellsworth,N
207-934-8679,NJ,Trenton,N
609-493-9845,MA,Millbury,Y
508-271-3026,MI,Hazel Park,Y
248-940-1425,NJ,Somerset,Y
732-891-2178,PA,Philadelphia,Y
215-659-7531,CA,Buena Park,Y
714-854-4870,CO,Englewood,Y
303-698-7692,CA,San Francisco,N
415-507-3210,NY,Ridgewood,N
718-220-8818,CA,San Clemente,N
949-316-4461,PA,Philadelphia,Y
215-363-1131,NY,Bronx,Y
718-740-9086,CA,San Carlos,Y
650-678-5725,VA,Annandale,Y
703-802-1293,PA,Bensalem,N
215-753-7573,PA,Philadelphia,N
215-988-6099,VA,White Marsh,Y
804-973-9346,KY,Owensboro,Y
270-786-4593,NC,Smithfield,Y
919-232-5976,ID,Pocatello,Y
208-209-1379,TN,Nashville,Y
615-915-7735,FL,Cocoa,Y
321-570-5575,OK,Norman,N
405-998-5803,NJ,Hackensack,N
201-562-6479,PA,Abington,N
215-737-7527,FL,Opa Locka,Y
305-731-8780,CT,Bridgeport,Y
203-820-7494,MA,Springfield,Y
413-914-1344,IN,South Bend,Y
574-430-1582,CA,Bakersfield,N
661-410-2431,IL,Chicago,N
773-927-6338,PA,Holmes,Y
610-245-8784,CA,Santa Rosa,Y
707-427-2960,NJ,Trenton,Y
609-571-5923,MD,Baltimore,Y
410-276-1571,MO,Springfield,Y
417-493-1826,NE,Omaha,Y
402-734-9676,MA,Fall River,N
508-577-4153,NY,West Islip,N
631-917-4527,HI,Honolulu,N
808-551-1016,CA,Gilroy,Y
408-276-7673,MD,Halethorpe,Y
410-855-4640,FL,Jacksonville,Y
904-614-1188,AL,Birmingham,Y
205-407-3937,CA,San Lorenzo,N
510-970-1197,NY,New York,N
212-967-4511,MI,Brighton,Y
810-857-5819,RI,Providence,Y
401-246-6949,NY,New York,Y
212-848-2670,IN,Indianapolis,Y
317-630-6949,MD,Owings Mills,Y
410-277-4676,CA,Walnut Creek,Y
925-882-1725,TX,Laredo,N
956-876-2815,MI,Flint,N
810-733-6107,OH,Cleveland,N
216-271-2256,IN,Michigan City,Y
219-322-7399,WA,Seattle,Y
206-508-2710,OK,Oklahoma City,Y
405-605-5270,ME,Presque Isle,Y
207-234-8148,NY,Staten Island,N
718-396-6667,NY,Astoria,N
718-379-5580,MD,Frederick,Y
301-996-7447,TX,League City,Y
281-232-1661,OR,Portland,Y
503-480-5505,NY,New York,Y
212-383-6000,CO,Colorado Springs,Y
719-839-1951,MS,Jackson,Y
601-972-3037,NY,New York,N
212-448-7330,MI,Livonia,N
734-985-7408,KY,Louisville,N
502-676-2880,NJ,Red Bank,Y
732-907-1983,NC,Fayetteville,Y
910-522-1490,NY,New York,Y
212-353-9210,CA,Milpitas,Y
408-266-8000,FL,Altamonte Springs,N
407-795-5994,TX,El Paso,N
915-759-4747,NJ,Trenton,Y
609-419-5308,FL,Jacksonville,Y
904-942-2955,CA,San Francisco,Y
415-486-1696,OR,Portland,Y
503-695-7247,TX,Houston,Y
713-288-8765,PA,Philadelphia,Y
215-842-7422,CT,Ridgefield,N
203-385-4306,NJ,Newark,N
973-741-1311,TX,Baytown,N
281-637-3572,CA,Oceanside,Y
760-369-1215,MI,Utica,Y
586-412-9984,NY,Astoria,Y
718-414-2120,TX,Lubbock,Y
806-821-3674,OK,Tulsa,N
918-470-3420,NY,Syracuse,N
315-660-6042,MD,Baltimore,Y
410-766-1200,IN,Indianapolis,Y
317-311-3568,MD,Rockville,Y
301-791-6281,OH,Cincinnati,Y
513-874-3596,CA,Rancho Mirage,Y
760-601-6412,NV,Las Vegas,Y
702-904-8416,NJ,East Orange,N
973-208-6427,OK,Oklahoma City,N
405-263-6894,NY,Westbury,N
516-747-4313,NY,Bronx,Y
718-328-1114,OH,Mount Vernon,Y
740-336-4660,TX,Plano,Y
972-819-5947,CA,Beverly Hills,Y
310-581-1992,FL,Tampa,N
813-760-2128,OR,Salem,N
503-439-1840,PA,Philadelphia,Y
215-853-9139,NY,Staten Island,Y
718-940-8379,IL,Chicago,Y
773-445-3673,PA,Philadelphia,Y
215-574-6805,CA,Baldwin Park,Y
626-239-6005,OH,Cincinnati,Y
513-783-1672,RI,Johnston,N
401-722-7430,NJ,Paterson,N
973-347-7991,PA,Scranton,N
570-919-2734,MD,Baltimore,Y
410-287-8458,OH,Akron,Y
330-539-3503,ND,Bismarck,Y
701-316-8689,PA,Allentown,Y
610-672-7665,GA,Atlanta,N
404-635-3424,TX,Lancaster,N
972-794-9261,FL,Satellite Beach,Y
321-224-1386,CA,Salinas,Y
831-641-9868,NJ,Wayne,Y
973-508-8380,CT,North Haven,Y
203-689-9744,NE,Omaha,Y
402-384-2007,OK,Oklahoma City,Y
405-945-1984,WV,Parkersburg,N
304-630-7464,TN,Lewisburg,N
931-476-7096,CA,Santa Rosa,N
707-275-2999,NV,Las Vegas,Y
702-545-2976,PA,Levittown,Y
215-350-7998,SC,Lexington,Y
803-262-7313,PA,Horsham,Y
215-470-9201,OH,Youngstown,N
330-548-3374,NJ,Riverside,N
856-239-5162,HI,Aiea,Y
808-430-3880,NY,Middle Island,Y
631-544-1827,NJ,Plainfield,Y
908-402-4453,CA,Clovis,Y
559-441-6042,OH,Mansfield,Y
419-552-5021,NV,Reno,Y
775-285-1806,HI,Honolulu,N
808-437-6880,NY,New York,N
212-979-2467,WA,Seattle,N
206-256-7087,UT,Salt Lake City,Y
801-357-8181,HI,Mililani,Y
808-728-3185,IL,Chicago,Y
312-337-5505,NY,Albany,Y
518-985-5004,CT,Bridgeport,N
203-642-9883,IL,Colfax,N
309-840-2453,NY,Flushing,Y
718-237-2505,CA,Tracy,Y
209-453-9529,CA,San Francisco,Y
415-341-1407,NY,New York,Y
212-297-5518,CA,San Diego,Y
619-482-9782,CO,Englewood,Y
303-959-2883,MI,Detroit,N
313-434-8386,CA,San Bruno,N
650-219-7765,DC,Washington,N
202-331-7235,CA,Northridge,Y
818-655-3700,TX,Duncanville,Y
972-971-4090,TX,Killeen,Y
254-294-2033,MS,Jackson,Y
601-785-8164,NJ,Caldwell,N
973-580-1462,MD,Bethesda,N
301-797-6117,NJ,Little Falls,Y
973-930-6635,CO,Brighton,Y
303-918-8736,IL,Naperville,Y
630-662-9962,IN,Indianapolis,Y
317-272-5243,NY,New York,Y
212-431-7668,NJ,Hackensack,Y
201-792-9656,CA,Pomona,N
909-236-7734,PA,Downingtown,N
610-688-3462,NJ,East Orange,N
973-364-7220,NM,Arroyo Seco,Y
505-308-5532,CA,Santa Barbara,Y
805-994-4944,VA,Annandale,Y
703-412-8163,CA,Burlingame,Y
650-236-7283,MI,Homer,N
517-351-3320,CA,San Diego,N
858-372-6131,CA,San Mateo,Y
650-268-4438,AK,Anchorage,Y
907-878-4802,CA,Costa Mesa,Y
949-384-8985,VA,Colonial Heights,Y
804-989-5181,TX,McKinney,Y
972-971-7310,MA,Manchester,Y
978-427-3189,ID,Meridian,N
208-853-5413,GA,Savannah,N
912-662-5269,NJ,Clifton,N
973-553-7312,CA,Riverside,Y
951-629-4086,CA,Stockton,Y
209-423-6791,GA,Atlanta,Y
404-576-1636,TX,Amarillo,Y
806-661-8653,FL,Hialeah,N
305-781-9333,CA,San Francisco,N
415-924-5965,WA,Seattle,Y
206-808-5244,ND,Fargo,Y
701-994-8537,NC,Greensboro,Y
336-389-8353,NY,New York,Y
212-875-1350,VA,Charlottesville,Y
434-520-7278,NC,Charlotte,Y
704-851-9401,TX,Dallas,N
214-657-7121,AZ,Scottsdale,N
602-322-5160,MI,Jackson,N
517-890-4114,CA,South San Francisco,Y
650-547-3133,MO,Maryland Heights,Y
314-410-8660,MI,Jackson,Y
517-633-7176,TX,Houston,Y
713-238-4961,CA,Gardena,N
310-549-6576,CA,Clovis,N
559-259-8267,IL,Schaumburg,Y
847-719-7141,MA,Everett,Y
617-680-3541,FL,Tampa,Y
813-516-5213,FL,Tavares,Y
352-924-1440,ID,Coeur d Alene,Y
208-804-8026,VT,Barre,Y
802-963-1075,CA,San Francisco,N
415-672-8751,WI,Brookfield,N
262-997-5615,MA,Randolph,N
781-832-6496,AR,Springdale,Y
479-940-9051,DC,Washington,Y
202-580-2474,WA,Tacoma,Y
253-936-2938,MI,Cadillac,Y
231-737-1707,NE,Lincoln,N
402-825-5670,MS,Pearl,N
601-235-8507,NJ,Edison,Y
732-236-7050,FL,Miami,Y
305-296-3083,VA,Annandale,Y
703-742-2814,OR,Portland,Y
503-874-8058,CA,San Diego,Y
858-969-7690,CA,Thousand Oaks,Y
805-532-9301,MT,Kalispell,N
406-911-8399,HI,Aiea,N
808-432-1164,NY,New York,N
212-517-5895,CA,Santa Cruz,Y
831-613-7972,NC,Raleigh,Y
919-882-4564,NJ,Shrewsbury,Y
732-809-5997,MA,Gloucester,Y
978-503-5884,PA,Huntingdon Valley,N
215-303-6468,WI,Manawa,N
920-961-8752,NY,New York,Y
212-551-6633,ID,Pocatello,Y
208-334-9680,MD,Hampstead,Y
410-238-1665,CA,Santa Barbara,Y
805-720-6364,CO,Denver,Y
303-966-5573,CA,Palmdale,Y
661-542-6633,TX,Longview,N
903-252-1322,NJ,Jersey City,N
201-501-7587,MD,Salisbury,N
410-495-8137,CA,San Mateo,Y
650-927-1602,CA,Northridge,Y
818-546-5440,UT,Salt Lake City,Y
801-225-8303,IL,Chicago,Y
312-548-1993,PA,Broomall,N
610-745-3395,NJ,Princeton,N
609-585-8554,PA,Feasterville Trevose,Y
215-393-4005,MA,Fall River,Y
508-989-7750,OH,Fairfield,Y
513-961-4744,TX,Pearland,Y
281-506-1728,PA,Lemoyne,Y
717-765-3879,NJ,Deptford,Y
856-658-3372,AK,Nome,N
907-907-9940,MD,Aberdeen,N
410-896-3644,IL,Chicago,N
773-649-4821,OH,Cleveland,Y
216-843-1861,LA,Gramercy,Y
225-229-4130,CO,Commerce City,Y
303-273-1859,PA,Langhorne,Y
215-842-4589,TX,Irving,N
972-442-8973,TX,Abilene,N
325-908-2655,NJ,Matawan,Y
732-760-9545,NJ,South Plainfield,Y
908-875-1027,OR,Portland,Y
503-252-1802,SD,Aberdeen,Y
605-325-6009,OH,Cincinnati,Y
513-530-6917,MD,Bel Air,Y
410-760-5409,CA,Redwood City,N
650-450-1498,AK,Anchorage,N
907-834-3965,RI,Riverside,N
401-241-7134,SC,Columbia,Y
803-286-4219,PA,Bristol,Y
215-308-9265,PA,Clarks Summit,Y
570-275-2522,CA,Sacramento,Y
916-464-9926,CA,Milpitas,N
408-469-7363,CO,Colorado Springs,N
719-953-3165,TN,Madison,Y
615-290-7799,IL,Wheeling,Y
847-575-9152,MN,Minneapolis,Y
763-302-1621,LA,Lafayette,Y
337-554-5146,TX,Richardson,Y
972-361-8967,CA,Pleasanton,Y
925-761-6671,NJ,Cherry Hill,N
856-698-4288,NJ,Rockaway,N
973-582-5541,NC,Wilson,N
252-599-7087,CT,Norwalk,Y
203-983-4537,CA,Rocklin,Y
916-898-8534,WI,Milwaukee,Y
414-791-3866,WI,Milwaukee,Y
414-444-2028,MA,Cambridge,N
617-419-7510,MI,Lansing,N
517-353-3741,FL,Panama City,Y
850-587-4910,NJ,Wayne,Y
973-304-2613,OH,Urbana,Y
937-453-8399,NY,Troy,Y
518-545-5342,MD,Halethorpe,Y
410-340-5791,NJ,Bridgewater,Y
908-756-7867,CT,Wallingford,N
203-546-3481,IA,Clive,N
515-272-9346,ME,Bangor,N
207-929-1758,NY,New York,Y
212-428-9576,VA,Sterling,Y
703-294-4819,NJ,Elizabeth,Y
908-563-8100,ID,Meridian,Y
208-674-4539,CA,Hacienda Heights,N
626-695-9214,OK,Tulsa,N
918-757-6324,PA,West Chester,Y
610-219-3029,NY,Rochester,Y
585-858-3672,TX,Conroe,Y
936-747-5664,MI,Kalamazoo,Y
269-396-4156,MA,Whitinsville,Y
508-656-9948,NJ,Freehold,Y
732-227-6702,ID,Pocatello,N
208-432-6060,NY,Staten Island,N
718-874-2733,MD,Lutherville Timonium,N
410-709-3597,KY,Bowling Green,Y
270-845-3999,NJ,Bloomfield,Y
973-264-2851,NJ,Belford,Y
732-633-5183,MD,Gaithersburg,Y
301-223-4983,CA,Van Nuys,N
818-347-1043,OK,Oklahoma City,N
405-588-7176,CA,San Jose,Y
408-543-2331,CA,Montebello,Y
323-792-5025,TX,Mission,Y
956-351-5850,PA,Camp Hill,Y
717-329-2990,CA,Newhall,Y
661-620-6801,IL,Greenville,Y
618-392-9668,SC,Columbia,N
803-314-3656,NH,Berlin,N
603-629-1236,LA,Alexandria,N
318-759-5471,CA,Los Angeles,Y
323-875-8517,AR,Little Rock,Y
501-950-4211,IL,Chicago,Y
773-898-6792,NJ,Newfoundland,Y
973-295-8391,NJ,Lakewood,N
732-667-9237,AZ,Chandler,N
480-787-1800,OH,Akron,Y
330-233-3229,AZ,Phoenix,Y
602-337-6372,AK,Anchorage,Y
907-207-4344,CA,Roseville,Y
916-602-2344,CA,Inglewood,Y
310-276-6239,PA,Easton,Y
610-353-8039,NJ,Richland,N
609-808-9550,AZ,Phoenix,N
602-419-1914,NY,New York,N
212-562-6353,CA,Indio,Y
760-933-7146,HI,Honolulu,Y
808-829-9566,IL,Chicago,Y
773-735-2417,VA,Virginia Beach,Y
757-799-7898,CA,San Jose,N
408-671-5008,WV,Bluefield,N
304-550-7946,OK,Oklahoma City,Y
405-396-5845,NY,Rochester,Y
585-491-2130,IL,Palatine,Y
847-710-9422,NY,Staten Island,Y
718-903-6581,CA,Burbank,Y
818-683-9762,FL,Daytona Beach,Y
386-696-7193,TX,Waco,N
254-212-5401,MA,Springfield,N
413-336-3521,FL,Opa Locka,N
305-693-1711,NY,New York,Y
212-506-6113,CA,Mammoth Lakes,Y
760-383-1387,NY,Syosset,Y
516-542-9825,PA,Allentown,Y
610-582-5108,WA,Kent,N
206-868-5419,CA,Menlo Park,N
650-225-4945,TX,Austin,Y
512-278-8306,NH,Laconia,Y
603-948-1061,TX,Humble,Y
281-624-9288,TX,Abilene,Y
325-957-5298,MI,Muskegon,Y
231-666-3643,NY,New York,Y
212-892-2556,FL,Tampa,N
813-915-1289,OR,Boring,N
503-263-1758,NJ,Jersey City,N
201-879-1239,WA,Lynnwood,Y
425-877-1258,TX,Laredo,Y
956-414-4787,NJ,Trenton,Y
609-247-1354,AK,Anchorage,Y
907-333-9261,CA,Thousand Palms,N
760-471-4287,NV,Reno,N
775-355-8937,NY,Woodside,Y
718-822-1107,NJ,Livingston,Y
973-415-7500,TX,College Station,Y
979-529-6056,PA,Hatfield,Y
215-236-9564,TN,Old Hickory,Y
615-658-6965,NY,New Windsor,Y
845-675-5779,MI,Adrian,N
517-332-9334,AK,Fairbanks,N
907-308-9663,MD,Dundalk,N
410-681-3151,CA,Los Angeles,Y
323-251-7457,CO,Englewood,Y
303-719-4496,LA,Westlake,Y
337-383-7047,CO,Boulder,Y
303-755-3385,CA,Hanford,N
559-490-7019,MD,Baltimore,N
410-423-8273,NY,Yonkers,Y
914-907-2758,NY,New York,Y
212-904-5616,AZ,Phoenix,Y
602-836-2191,IN,Evansville,Y
812-630-9949,CO,Aurora,Y
303-492-7015,AR,Little Rock,Y
501-764-3269,NJ,Mountainside,N
908-762-5138,NY,Jamestown,N
716-362-5008,NM,Farmington,N
505-839-5828,MI,Caro,Y
989-800-7228,CA,Santa Barbara,Y
805-395-8312,NE,Omaha,Y
402-213-1194,WV,Wheeling,Y
304-656-9702,CA,Glendale,N
818-800-2230,OR,Portland,N
503-625-6156,NY,Middletown,Y
845-870-9428,CA,Anaheim,Y
714-970-6475,CA,Fremont,Y
510-790-7937,GA,Decatur,Y
404-401-1384,IN,Fort Wayne,Y
260-353-9343,MA,Springfield,Y
413-338-6887,IA,Urbandale,N
515-865-3086,CA,North Hills,N
818-578-4304,CA,Torrance,N
310-980-5679,NJ,Morris Plains,Y
973-505-8940,IL,Chicago,Y
773-510-5271,NY,New York,Y
212-530-5627,NY,New York,Y
212-696-2294,NY,New York,N
212-653-3686,CA,Sacramento,N
916-513-4079,PA,Philadelphia,Y
215-738-9110,TX,Fort Worth,Y
817-720-6216,NJ,Berlin,Y
856-538-4928,NJ,Clifton,Y
973-381-5654,NJ,Palisades Park,Y
201-552-4934,OH,Toledo,Y
419-313-5528,TX,College Station,N
979-313-9547,RI,Providence,N
401-379-2124,AZ,Phoenix,N
602-413-7761,PA,York,Y
717-688-8909,CO,Boulder,Y
303-611-5774,CA,Los Angeles,Y
310-739-9464,CA,Oroville,Y
530-862-7021,NY,Port Jervis,N
845-756-9107,WI,Madison,N
608-565-7348,NY,New York,Y
212-559-2505,WI,Plover,Y
715-602-4787,CA,Santa Fe Springs,Y
562-596-4716,FL,Hialeah,Y
305-512-3691,PA,West Chester,Y
610-697-6817,CA,San Jose,Y
408-218-4455,NJ,Woodbridge,N
732-523-7686,CA,Modesto,N
209-431-8912,IA,Sergeant Bluff,N
712-709-3151,CA,San Francisco,Y
415-695-4712,CA,Long Beach,Y
562-369-5527,WI,Green Bay,Y
920-533-7140,HI,Honolulu,Y
808-903-4609,MI,Grand Haven,N
616-525-6392,VA,Hayes,N
804-413-8024,CA,Fremont,Y
510-564-1832,NJ,Mount Tabor,Y
973-944-6585,NJ,Denville,Y
973-352-4380,MI,Sterling Heights,Y
586-374-4649,SC,Florence,Y
843-429-2486,PA,Ambler,Y
215-315-4309,FL,Miami,N
305-362-5422,MI,Troy,N
248-865-7444,NJ,Jersey City,N
201-368-6745,CA,Livermore,Y
925-906-4753,NJ,Newark,Y
973-496-7936,MA,Indian Orchard,Y
413-529-5237,OH,Toledo,Y
419-480-1688,MD,Lutherville Timonium,N
301-905-3549,LA,Morgan City,N
985-327-8528,CA,Sacramento,Y
916-766-8726,NJ,Jersey City,Y
201-646-6864,IL,Lisle,Y
630-827-9464,CA,Pleasanton,Y
925-782-1357,AZ,Phoenix,Y
602-589-3475,AZ,Phoenix,Y
602-973-7457,NY,New York,N
212-447-9409,NJ,Bloomfield,N
973-875-7614,RI,Providence,N
401-625-9558,PA,Allentown,Y
610-617-4358,NY,Poughkeepsie,Y
845-412-9531,FL,Miami,Y
305-626-7100,NJ,Bridgeton,Y
856-814-7189,FL,Brandon,N
813-740-3072,OR,Boring,N
503-250-5777,SC,Beaufort,Y
843-939-5281,MD,Columbia,Y
410-527-7915,NJ,Brick,Y
732-565-7977,CO,Denver,Y
303-863-7566,NY,Rochester,Y
585-304-8109,NV,Las Vegas,Y
702-801-9070,OH,Cleveland,N
216-393-6584,NJ,Morristown,N
973-899-5478,FL,Tampa,N
813-229-2893,CA,Anaheim,Y
714-964-9351,MA,Abington,Y
781-561-9087,NY,New York,Y
212-416-8277,PA,Doylestown,Y
215-285-4946,PA,Lebanon,N
717-270-5445,CA,Lodi,N
209-900-6502,NJ,Chatham,Y
973-347-5737,FL,Orlando,Y
407-286-8130,NJ,Seaside Heights,Y
732-207-8093,OH,Bowling Green,Y
419-529-6492,MA,Medford,Y
781-324-7706,CA,Clovis,Y
559-300-7312,IL,Chicago,N
312-954-8513,IN,Gary,N
219-805-7804,WA,Seattle,N
206-478-7182,MA,Cambridge,Y
617-289-5699,NJ,Wayne,Y
973-601-4394,CA,San Diego,Y
858-441-2254,NC,Stanley,Y
704-405-2695,PA,West Chester,N
610-945-6451,NY,Jamaica,N
718-837-3943,FL,West Palm Beach,Y
561-749-1083,NY,Clifton Park,Y
518-670-4134,AK,Fairbanks,Y
907-567-1232,NJ,Kearny,Y
201-203-4899,FL,Altamonte Springs,Y
407-572-9027,NE,Omaha,Y
402-378-9985,NH,Manchester,N
603-206-7709,CA,Torrance,N
